time,open,high,low,close,volume
2020-02-26 21:00:00,8786.00,8971.77,8531.00,8823.21,72484
2020-02-27 21:00:00,8823.25,8900.00,8445.00,8692.91,71155
2020-02-28 21:00:00,8690.80,8790.00,8523.55,8523.61,36748
2020-02-29 21:00:00,8523.61,8750.00,8411.00,8531.88,43892
2020-03-01 21:00:00,8530.30,8965.75,8498.00,8915.24,60401
2020-03-02 21:00:00,8911.18,8919.65,8651.00,8760.07,55155
2020-03-03 21:00:00,8760.07,8848.29,8660.00,8750.87,38696
2020-03-04 21:00:00,8750.99,9159.42,8746.54,9054.68,58202
2020-03-05 21:00:00,9054.64,9170.00,8985.50,9131.88,43783
2020-03-06 21:00:00,9130.89,9188.00,8835.00,8886.66,45422
2020-03-07 21:00:00,8885.25,8886.76,8000.00,8033.31,77537
2020-03-08 21:00:00,8034.76,8179.31,7632.01,7929.87,116969
2020-03-09 21:00:00,7929.87,8149.00,7728.01,7894.56,86783
2020-03-10 21:00:00,7894.57,7980.00,7590.00,7934.52,79942
2020-03-11 21:00:00,7934.58,7966.17,4410.00,4800.00,261506
2020-03-12 21:00:00,4800.01,5955.00,3782.13,5578.60,402202
2020-03-13 21:00:00,5576.05,5640.52,5055.13,5172.06,136910
2020-03-14 21:00:00,5172.48,5940.00,5093.10,5361.30,139916
2020-03-15 21:00:00,5360.33,5365.42,4442.12,5028.97,227277
2020-03-16 21:00:00,5028.86,5525.00,4921.45,5312.64,150090
2020-03-17 21:00:00,5312.64,5436.17,5009.37,5393.04,137128
2020-03-18 21:00:00,5393.26,6400.00,5252.53,6162.37,199021
2020-03-19 21:00:00,6162.05,6900.00,5670.00,6208.36,219298
2020-03-20 21:00:00,6204.57,6456.98,5860.02,6186.98,128914
2020-03-21 21:00:00,6187.04,6407.87,5734.01,5816.19,119116
2020-03-22 21:00:00,5816.05,6600.00,5688.00,6467.31,164674
2020-03-23 21:00:00,6465.25,6833.00,6371.33,6744.72,151138
2020-03-24 21:00:00,6744.69,6957.96,6450.00,6677.43,132156
2020-03-25 21:00:00,6677.42,6780.00,6510.00,6737.36,83027
