time,open,high,low,close,volume
07/10/2020 21:00:00,3.85,4.16,3.63,4.12,8531659
08/10/2020 21:00:00,4.11,4.35,4.01,4.25,6400373
09/10/2020 21:00:00,4.25,4.49,4.23,4.26,5182488
10/10/2020 21:00:00,4.26,4.34,4.17,4.25,3675667
11/10/2020 21:00:00,4.25,4.45,4.19,4.31,6228123
12/10/2020 21:00:00,4.31,4.35,4.13,4.25,4643179
13/10/2020 21:00:00,4.25,4.38,4.08,4.18,5239196
14/10/2020 21:00:00,4.18,4.19,4.02,4.10,3826664
15/10/2020 21:00:00,4.10,4.16,3.80,3.91,5544038
16/10/2020 21:00:00,3.91,3.98,3.86,3.97,1738607
17/10/2020 21:00:00,3.97,4.12,3.95,4.11,2456006
18/10/2020 21:00:00,4.11,4.12,3.95,3.99,2740611
19/10/2020 21:00:00,3.98,4.15,3.86,3.90,5741108
20/10/2020 21:00:00,3.90,4.26,3.89,4.14,7288865
21/10/2020 21:00:00,4.13,4.34,4.12,4.27,5757991
22/10/2020 21:00:00,4.27,4.48,4.18,4.26,8353057
23/10/2020 21:00:00,4.26,4.43,4.24,4.35,4486544
24/10/2020 21:00:00,4.35,4.45,4.26,4.33,4100262
25/10/2020 21:00:00,4.33,4.75,4.29,4.70,11305772
26/10/2020 21:00:00,4.71,4.95,4.64,4.67,10647012
27/10/2020 21:00:00,4.67,4.78,4.25,4.36,9278337
28/10/2020 21:00:00,4.36,4.41,3.85,4.06,10671186
29/10/2020 21:00:00,4.06,4.16,3.92,4.08,7322005
30/10/2020 21:00:00,4.08,4.28,4.06,4.19,3270319
31/10/2020 21:00:00,4.18,4.22,4.11,4.22,2456433
01/11/2020 21:00:00,4.22,4.26,3.96,4.03,5197344
02/11/2020 21:00:00,4.03,4.07,3.88,4.04,5133339
03/11/2020 21:00:00,4.04,4.16,3.89,4.10,7425624
04/11/2020 21:00:00,4.10,4.30,4.01,4.22,6288600
05/11/2020 21:00:00,4.22,4.64,4.20,4.58,8938274
06/11/2020 21:00:00,4.58,4.86,4.08,4.23,15757509
07/11/2020 21:00:00,4.23,4.43,4.13,4.37,5332067
08/11/2020 21:00:00,4.37,4.46,4.24,4.35,5918543
09/11/2020 21:00:00,4.35,4.51,4.30,4.42,5197286
10/11/2020 21:00:00,4.42,4.63,4.42,4.45,6264705
11/11/2020 21:00:00,4.45,4.48,4.31,4.40,4584712
12/11/2020 21:00:00,4.40,4.59,4.37,4.54,5539505
13/11/2020 21:00:00,4.54,4.55,4.35,4.46,5232906
14/11/2020 21:00:00,4.47,4.50,4.31,4.37,4897454
15/11/2020 21:00:00,4.37,4.60,4.34,4.50,6702906
16/11/2020 21:00:00,4.50,4.93,4.49,4.86,13923587
17/11/2020 21:00:00,4.86,4.95,4.50,4.68,11415112
18/11/2020 21:00:00,4.68,4.85,4.54,4.76,7976959
19/11/2020 21:00:00,4.76,5.47,4.74,5.23,17934442
20/11/2020 21:00:00,5.23,5.81,5.13,5.78,14938159
21/11/2020 21:00:00,5.78,5.85,5.17,5.52,12275138
22/11/2020 21:00:00,5.52,5.96,5.42,5.91,14908169
23/11/2020 21:00:00,5.91,6.09,5.61,5.73,15057227
24/11/2020 21:00:00,5.73,5.83,5.13,5.30,10948124
25/11/2020 21:00:00,5.30,5.38,4.43,4.81,20179716
26/11/2020 21:00:00,4.81,5.08,4.50,4.82,8464914
27/11/2020 21:00:00,4.81,4.95,4.67,4.89,5004580
28/11/2020 21:00:00,4.89,5.21,4.80,5.19,5392526
29/11/2020 21:00:00,5.19,5.45,5.13,5.38,9070458
30/11/2020 21:00:00,5.38,5.54,4.92,5.08,10943827
01/12/2020 21:00:00,5.08,5.55,5.00,5.46,7081942
02/12/2020 21:00:00,5.46,5.57,5.32,5.40,5002283
03/12/2020 21:00:00,5.40,5.43,4.96,5.00,5569105
04/12/2020 21:00:00,5.00,5.19,4.88,5.18,4496795
05/12/2020 21:00:00,5.18,5.21,5.00,5.13,2749761
06/12/2020 21:00:00,5.13,5.16,5.01,5.06,2453405
07/12/2020 21:00:00,5.06,5.07,4.70,4.74,5044001
08/12/2020 21:00:00,4.74,4.94,4.62,4.87,5290275
