time,open,high,low,volume
2020-08-20 18:00:00,2.81500000,3.00000000,2.78000000,553692.61000000
2020-08-20 19:00:00,2.79870000,2.85180000,2.60000000,1526847.73000000
2020-08-20 20:00:00,2.77210000,2.91470000,2.77000000,436343.65000000
2020-08-20 21:00:00,2.89780000,2.92400000,2.88040000,267995.23000000
2020-08-20 22:00:00,2.90890000,2.95700000,2.90380000,353856.20000000
2020-08-20 23:00:00,2.94080000,2.95000000,2.68960000,919237.68000000
2020-08-21 00:00:00,2.70900000,2.85840000,2.68260000,472969.16000000
2020-08-21 01:00:00,2.84070000,2.89000000,2.79030000,465335.99000000
2020-08-21 02:00:00,2.83360000,2.89900000,2.80010000,248915.80000000
2020-08-21 03:00:00,2.86790000,2.92180000,2.85000000,599494.13000000
2020-08-21 04:00:00,2.90600000,2.95120000,2.86530000,349575.67000000
2020-08-21 05:00:00,2.95100000,3.09000000,2.94500000,780840.73000000
2020-08-21 06:00:00,3.04010000,3.08990000,2.90100000,573826.41000000
2020-08-21 07:00:00,2.90100000,3.02710000,2.89670000,456671.15000000
2020-08-21 08:00:00,3.00250000,3.01990000,2.84000000,317167.35000000
2020-08-21 09:00:00,2.89540000,2.96960000,2.83110000,286613.15000000
2020-08-21 10:00:00,2.95930000,2.96660000,2.92000000,257702.64000000
2020-08-21 11:00:00,2.93020000,2.95090000,2.86000000,405485.47000000
2020-08-21 12:00:00,2.93670000,2.94930000,2.86710000,366741.49000000
2020-08-21 13:00:00,2.91060000,2.93850000,2.87930000,160000.61000000
2020-08-21 14:00:00,2.93250000,2.97170000,2.91000000,176840.05000000
2020-08-21 15:00:00,2.93470000,3.00000000,2.89000000,372935.34000000
2020-08-21 16:00:00,3.00000000,3.02800000,2.84410000,866974.62000000
2020-08-21 17:00:00,2.92380000,2.98820000,2.84370000,368468.12000000
2020-08-21 18:00:00,2.89870000,2.93300000,2.86000000,239905.21000000
2020-08-21 19:00:00,2.88540000,2.91280000,2.82000000,300320.34000000
2020-08-21 20:00:00,2.85570000,2.90920000,2.83040000,157281.20000000
2020-08-21 21:00:00,2.83870000,2.87000000,2.78200000,300185.74000000
2020-08-21 22:00:00,2.81000000,2.86420000,2.78300000,306438.46000000
2020-08-21 23:00:00,2.84000000,2.87000000,2.82000000,138519.70000000
2020-08-22 00:00:00,2.85710000,2.94860000,2.85200000,277529.92000000
2020-08-22 01:00:00,2.93610000,2.94210000,2.86750000,245989.27000000
2020-08-22 02:00:00,2.91020000,2.96000000,2.87430000,243998.09000000
2020-08-22 03:00:00,2.93540000,2.96020000,2.90150000,265596.79000000
2020-08-22 04:00:00,2.95520000,3.68680000,2.95450000,5083463.17000000
2020-08-22 05:00:00,3.41220000,3.82000000,3.21100000,3649898.18000000
2020-08-22 06:00:00,3.81880000,4.01900000,3.60200000,4129048.33000000
2020-08-22 07:00:00,3.89200000,3.98000000,3.63630000,2701590.43000000
2020-08-22 08:00:00,3.82000000,3.86000000,3.65000000,1431392.79000000
2020-08-22 09:00:00,3.82050000,3.85000000,3.50100000,2522718.64000000
2020-08-22 10:00:00,3.64140000,4.03130000,3.63500000,2686263.20000000
2020-08-22 11:00:00,3.81490000,3.93530000,3.60000000,2871161.02000000
2020-08-22 12:00:00,3.82410000,3.89180000,3.73950000,1145146.61000000
2020-08-22 13:00:00,3.82260000,4.00000000,3.78150000,1508906.34000000
2020-08-22 14:00:00,3.99010000,4.19000000,3.84960000,2345558.43000000
2020-08-22 15:00:00,4.16460000,4.36340000,4.09210000,3002631.20000000
2020-08-22 16:00:00,4.24540000,4.33190000,4.13300000,1150635.69000000
2020-08-22 17:00:00,4.21970000,4.28880000,4.05600000,1086114.95000000
